id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,zipcode
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,202,2,383,2023-02-19,2.31,1,128,59,San Francisco,94143.0
487499,Mission District - Perfect Location,1682183,Daniel,,Mission,37.75884,-122.42232,Entire home/apt,125,30,192,2022-10-31,1.48,1,239,4,San Francisco,90110.0
2115503,Ocean Beach - Kelly's Cove,10785430,Ant,,Outer Richmond,37.77428,-122.50759,Entire home/apt,170,2,392,2023-02-27,4.23,1,63,50,San Francisco,94121.0
4445540,1 BD/1 BA Twin Peaks Lookout w/ City Views,23071835,Jason,,Twin Peaks,37.75745,-122.44518,Entire home/apt,123,30,49,2023-02-08,0.53,3,333,4,San Francisco,94131.0
7007759,Rooms with private entrance 独立一房一厅,36734328,Winni,,Ocean View,37.71612,-122.45302,Private room,222,3,15,2022-09-24,0.17,1,363,1,San Francisco,94112.0
10864914,Furnished Victorian 1BR in NoeValley/Mission,46596909,Nadya,,Noe Valley,37.74547,-122.42524,Entire home/apt,170,30,16,2023-02-09,0.28,1,118,3,San Francisco,94114.0
14538591,Separate  Entrance Big Studio near Beach and Park,41376640,Pauline,,Outer Sunset,37.76258,-122.50215,Entire home/apt,116,2,209,2023-03-02,2.85,1,99,63,San Francisco,94121.0
17369805,Luxury room,100672984,Roberto,,Castro/Upper Market,37.76446,-122.42874,Entire home/apt,250,2,195,2023-01-23,2.68,3,239,42,San Francisco,94143.0
20195883,Elegant Retreat in Lone Mountain with Breathtaking Views,7934590,Joyce,,Inner Richmond,37.77964,-122.45465,Entire home/apt,280,2,105,2023-02-26,1.55,1,46,25,San Francisco,94118.0
21804276,Relaxing and Comfortable Home Away From Home,1857594,William,,Excelsior,37.72817,-122.417,Entire home/apt,105,30,24,2022-10-08,0.41,1,260,6,San Francisco,94134.0
23359552,Roaring 20s original (1917 Classic SF home),172043251,Peter,,Noe Valley,37.74668,-122.42484,Private room,94,1,68,2022-09-13,1.17,3,0,8,San Francisco,94114.0
25948779,Beautiful and Modern in the Heart of San Francisco,48589875,Ut,,Financial District,37.78924,-122.39584,Private room,235,30,4,2018-08-27,0.07,1,364,0,San Francisco,94105.0
30346332,4 Bedroom house-No partying/smoking!,672862,Sharon,,Crocker Amazon,37.71094,-122.43134,Entire home/apt,196,1,149,2023-01-06,2.9,2,353,56,San Francisco,94112.0
32891490,Statuesque 3/2 Family Home Near UCSF-Inner Sunset,988375,Jennifer,,Inner Sunset,37.76337,-122.47628,Entire home/apt,165,30,24,2022-09-06,0.51,14,0,3,San Francisco,94122.0
34840354,Family Friendly Home Only 15 mins from Downtown SF,262656613,Maria,,Excelsior,37.72009,-122.42796,Entire home/apt,399,30,0,,,1,0,0,San Francisco,94112.0
38024311,Cozy 1BR Dolores Park Home w/Outdoor Space,7325515,Jo Anne,,Castro/Upper Market,37.75821,-122.42635,Entire home/apt,140,30,5,2022-09-04,0.2,4,302,2,San Francisco,94143.0
40619776,New Private Room in the Upbeat Mission,3078020,Anil,,Mission,37.75886,-122.40831,Private room,105,3,86,2023-03-04,2.22,3,55,49,San Francisco,90110.0
